Com1,Com2
-12.649756,-79.37167
45.50426,-23.47687
14.51215,21.585608
-67.00979,-68.97379
58.756058,-74.398155
27.701145,22.058987
-17.720236,19.964556
-60.06988,-3.2273142
-5.5694337,-3.873651
20.795156,5.9444947
77.58342,28.691864
42.154022,21.401245
78.80361,-17.075037
8.008888,-14.095039
-26.043392,-57.759922
75.663956,-36.68009
-13.029703,-29.291687
-26.117931,-53.4581
-13.883971,-9.724109
-37.915665,20.529024
22.010664,-47.291344
-71.90113,-20.349678
93.43798,-10.303789
58.817993,36.368534
-23.057442,46.67103
79.374565,-15.463241
-23.476683,-80.3791
-17.8309,20.138266
-16.117262,-37.502464
84.43086,17.603058
6.3461003,53.629642
-31.08588,84.14607
-27.138878,-10.330231
4.407442,-40.86817
-35.452843,6.4025106
77.83473,27.08215
42.870434,79.03443
39.96836,58.460705
-1.8636601,-63.096188
-14.7574625,-78.937256
82.79354,-40.28679
-73.955986,41.471382
30.706614,24.246752
0.77674663,-22.072075
-30.525618,69.49616
-1.1714549,-69.51625
-42.20669,-23.375235
8.5949955,-13.509723
53.120155,-79.34302
24.448215,-68.89207
77.45667,33.83293
-48.74894,-20.689703
-62.668453,-47.013763
70.29246,-63.57164
-80.06321,-37.85632
-16.976086,-36.282616
-0.37636003,36.577427
76.49254,-57.61732
-9.597568,32.341805
52.716564,66.987175
30.696245,-30.343035
43.394005,47.994152
-15.05404,-4.5788064
20.69137,6.244844
64.59668,25.459417
28.233034,24.543533
-38.274574,82.11888
-90.483925,-7.7766676
-64.90853,27.022146
-52.42253,-21.339739
-9.1514435,-45.472637
-42.194675,-19.461243
13.927716,-39.93823
-5.681499,-2.8681512
-40.586,-17.60224
-9.083436,0.84576064
59.17836,-73.56314
-14.456224,-28.157341
-35.11934,12.311299
-51.68317,25.200598
-13.068369,32.649845
-11.413157,1.7863003
12.350834,-48.76953
1.8375673,-94.34317
92.0152,-11.992954
-18.332962,-85.28173
-38.473064,-18.598478
-64.08838,-50.731396
-63.53482,-50.648956
33.686848,-16.497547
9.363377,-64.58283
0.7678567,82.50925
37.426018,-73.99184
81.52399,22.717913
36.56815,-2.2054393
-52.10744,76.82954
58.85391,58.516243
-15.829149,83.06388
-24.07209,-56.23893
90.98331,1.4482938
15.308995,-39.766335
-40.453346,-82.49444
-56.47493,23.362179
53.120163,-79.34302
-9.712425,-47.649906
-9.244528,-55.605988
60.735573,4.6445045
25.066751,44.643703
48.576694,-34.101887
87.64036,2.2623546
-13.396224,-0.09554633
62.14895,-5.4611416
0.99291646,40.148624
17.262087,64.38516
-74.13295,41.87013
43.705715,-18.379934
-4.4199038,-25.506746
62.60841,-4.9847927
20.135365,-11.789869
26.168673,-64.31647
47.344757,-40.549828
-59.255714,-4.540073
-1.4419491,-101.9805
4.1045313,61.530373
54.039825,11.476352
-78.134384,-21.267387
-56.433556,49.250526
47.394424,-41.338882
-21.563736,53.02239
-69.45425,-17.377825
-51.838894,41.95866
-31.71354,47.325165
39.601624,-2.1375992
-49.28189,-35.665215
17.701473,63.981693
-7.8788323,-20.330645
21.495085,55.444256
32.092995,-38.595486
17.848024,90.98624
-35.535694,7.229328
36.060703,60.523746
-27.092697,-12.414874
2.681079,-22.542685
-55.58243,-32.89506
-58.825134,12.04358
61.58675,3.4250093
21.237036,53.62646
-65.33608,8.882586
58.965572,-74.008385
82.209984,-39.445812
13.302766,-43.568985
4.386433,-32.16205
24.318188,87.270134
-24.892595,23.45964
30.960516,-38.352257
68.42841,48.151596
-45.038067,-55.29315
-89.05684,47.335613
20.65032,-64.898186
-36.948643,-81.01289
60.394684,5.375983
-70.24414,8.804702
-99.528625,-18.094927
-29.178007,43.35605
12.016387,-44.300713
11.992195,9.607037
-8.810886,-55.192764
-82.963615,45.100227
-32.85765,7.4413247
-52.37345,-21.393902
-99.69542,-6.090758
-81.17163,50.37297
-18.14109,-83.74607
14.416617,21.546608
-31.90829,10.406053
58.52359,58.3734
-21.599691,77.15796
2.9481742,13.4579525
23.306225,-11.346009
-83.5304,-40.03563
22.938377,-49.93878
46.41966,-26.514502
35.11572,47.714703
-33.728336,48.275
59.031273,-40.08297
26.420729,87.0163
89.349785,5.2242618
-61.094467,27.45989
61.63312,-1.6784384
35.47243,10.606089
27.557575,47.984325
-45.034298,-55.168488
-0.040657505,-95.870804
-18.358717,-52.62643
-9.304601,-44.19961
90.25865,2.8253129
84.40122,17.665087
-4.3555055,-21.644932
90.91865,1.5671122
-25.682526,-60.095753
35.258694,60.98261
57.633278,-74.74737
-18.389904,-8.479774
79.35201,27.42823
0.081235,34.82993
13.166805,-45.00201
-88.40574,-10.791343
-29.47127,13.591944
-91.30474,9.007514
-26.48508,-15.588674
-26.327827,-53.08591
5.9279523,20.212467
24.843588,48.36079
-32.46033,7.0973597
2.899815,13.436692
-33.166645,-75.93205
36.160538,78.43437
-26.97813,-12.098052
77.79969,27.225142
-54.117283,77.73844
44.962444,-5.6493874
14.108275,-23.50095
59.301228,-73.18015
65.97028,-6.3158655
-32.55805,82.039604
86.15543,20.860308
81.3232,-32.032547
-11.9944515,-46.080788
48.150078,-34.44799
45.98349,-23.275215
-57.138767,13.331893
5.5386357,28.71145
27.749779,-2.6300943
9.671753,-35.155598
-25.24969,-1.9202051
37.943752,-59.70244
55.27737,63.79598
19.848906,-97.48411
-59.034664,54.521896
-35.503166,87.99335
65.442635,-11.175883
53.539433,12.944321
-47.68417,8.74761
15.1030035,22.492079
64.40007,28.507492
61.552315,-1.6915671
30.242104,-36.13938
83.748276,12.790152
12.614981,32.91949
-42.564636,-85.165276
15.680252,-98.095314
10.5356865,-16.576391
